id;nome;needs_translation;notes
arsenal-principal-mc-25-26;Camisola Arsenal Principal Manga Comprida 25/26;Sim;Traduzir descrições
chelsea-principal-mc-25-26;Camisola Chelsea F.C. Principal Manga Comprida 25/26;Sim;Traduzir descrições
arsenal-x-adidas-originals-25-26;Camisola Arsenal X Adidas Originals 25/26;Sim;Traduzir descrições
wolverhampton-alternativa-25-26;Camisola Wolves Alternativa 25/26;Sim;Traduzir descrições
everton-terceira-25-26;Camisola Everton Terceira 25/26;Sim;Traduzir descrições
liverpool-guarda-redes-25-26;Camisola Liverpool F.C. Guarda Redes 25/26;Sim;Traduzir descrições
arsenal-terceira-manga-comprida-25-26;Camisola Arsenal Terceira Manga Comprida 25/26;Sim;Traduzir descrições
tottenham-terceira-25-26;Camisola Tottenham Hotspur Terceira 25/26;Sim;Traduzir descrições
manchester-united-x-adidas-originals-25-26;Camisola Manchester United X Adidas Originals 2025;Sim;Traduzir descrições
arsenal-especial-25-26;Camisola Arsenal Especial 25/26;Sim;Traduzir descrições
arsenal-alternativa-manga-comprida-25-26;Camisola Arsenal Alternativa Manga Comprida 25/26;Sim;Traduzir descrições
manchester-united-terceira-manga-comprida-25-26;Camisola Manchester United Terceira Manga Comprida 25/26;Sim;Traduzir descrições
leeds-united-alternativa-25-26;Camisola Leeds United Alternativa 25/26;Sim;Traduzir descrições
arsenal-especial-mlb-25;Camisola Arsenal Especial MLB 2025;Sim;Traduzir descrições
newcastle-united-alternativa-25-26;Camisola Newcastle United Alternativa 25/26;Sim;Traduzir descrições
plymouth-argyle-principal-25-26;Camisola Plymouth Argyle F.C. Principal 25/26;Sim;Traduzir descrições
sunderland-alternativa-25-26;Camisola Sunderland Alternativa 25/26;Sim;Traduzir descrições
ipswich-town-alternativa-25-26;Camisola Ipswich Town Alternativa 25/26;Sim;Traduzir descrições
ipswich-town-principal-25-26;Camisola Ipswich Town Principal 25/26;Sim;Traduzir descrições
newcastle-united-terceira-25-26;Camisola Newcastle United Terceira 25/26;Sim;Traduzir descrições
west-ham-united-principal-25-26;Camisola West Ham United Principal 25/26;Sim;Traduzir descrições
cardiff-city-fc-principal-25-26;Camisola Cardiff City FC Principal 25/26;Sim;Traduzir descrições
everton-principal-25-26;Camisola Everton Principal 25/26;Sim;Traduzir descrições
brighton-alternativa-25-26-1;Camisola Brighton & Hove Albion Alternativa 25/26;Sim;Traduzir descrições
crystal-palace-principal-25-26;Camisola Crystal Palace Principal 25/26;Sim;Traduzir descrições
manchester-united-especial-mlb-25;Camisola Manchester United Especial MLB 2025;Sim;Traduzir descrições
tottenham-hotspur-alternativa-straykids-25-26;Camisola Tottenham Hotspur Alternativa X StrayKids 25/26;Sim;Traduzir descrições
birmingham-city-fc-principal-25-26;Camisola Birmingham City FC Principal 25/26;Sim;Traduzir descrições
leicester-alternativa-25-26;Camisola Leicester City Alternativa 25/26;Sim;Traduzir descrições
leicester-principal-25-26;Camisola Leicester City Principal 25/26;Sim;Traduzir descrições
wolves-gr-25-26;Camisola Wolves Guarda-Redes 25/26;Sim;Traduzir descrições
norwich-principal-25-26;Camisola Norwich City FC Principal 25/26;Sim;Traduzir descrições
brighton-alternativa-25-26;Camisola Brighton & Hove Albion Alternativa 25/26;Sim;Traduzir descrições
leeds-originals-2025;Camisola Leeds United X Adidas Originals 2025;Sim;Traduzir descrições
leeds-terceira-25-26;Camisola Leeds United Terceira 25/26;Sim;Traduzir descrições
fulham-principal-25-26;Camisola Fulham Principal 25/26;Sim;Traduzir descrições
westham-alternativa-25-26;Camisola West Ham United Alternativa 25/26;Sim;Traduzir descrições
sunderland-principal-25-26;Camisola Sunderland Principal 25/26;Sim;Traduzir descrições
sheffield-alternativa-25-26;Camisola Sheffield United Alternativa 25/26;Sim;Traduzir descrições
liverpool-originals-2025;Camisola Liverpool F.C. X Adidas Originals 2025;Sim;Traduzir descrições
chelsea-terceira-25-26;Camisola Chelsea F.C. Terceira 25/26;Sim;Traduzir descrições
burnley-principal-25-26;Camisola Burnley Principal 25/26;Sim;Traduzir descrições
everton-alternativa-25-26;Camisola Everton Alternativa 25/26;Sim;Traduzir descrições
kit-crianca-manchester-city-principal-2526;Kit Criança Manchester City Principal 2025/26;Sim;Categoria criança
kit-crianca-cristiano-ronaldo-commemorative-2526;Kit Criança Cristiano Ronaldo Commemorative Edition 2025/26;Sim;Categoria criança
kit-crianca-ac-milan-principal-2526;Kit Criança AC Milan Principal 2025/26;Sim;Categoria criança
sporting-retro-03-04;Camisola Retro Sporting 03/04;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
sporting-retro-99-00;Camisola Retro Sporting 99/00;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
kit-crianca-sporting-rosa-24-25;Kit Criança Sporting 2024/25 - Rosa;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa; Categoria criança"
kit-crianca-sporting-terceira-24-25;Kit Criança Sporting 2024/25 - Terceira;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa; Categoria criança"
kit-crianca-sporting-quarta-23-24;Kit Criança Sporting 2023/24 - Quarta;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa; Categoria criança"
sporting-retro-01-03-manga-longa;Camisola Retro Sporting 01/03 Manga comprida;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
braga-secundaria-25-26;SC Braga 2025/26 - Secundária;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
vitoria-sc-principal-25-26;Vitória SC 2025/26 - Principal;Sim;"Referencia Portugal/Liga PT; liga field=liga-portuguesa"
ajax-third-away-21-22;Ajax 2021/22 - Terceira (Away);Sim;Traduzir descrições
psg-24-25-fourth;Camisola PSG Fourth 2024/25;Sim;Traduzir descrições
crystal-palace-24-25-home;Camisola Crystal Palace Principal 2024/25;Sim;Traduzir descrições
crystal-palace-24-25-away;Camisola Crystal Palace Alternativa 2024/25;Sim;Traduzir descrições
sporting-24-25-gk;Camisola de Guarda-Redes Sporting 2024/25;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
real-madrid-23-24;23/24 Real Madrid Principal;Sim;Traduzir descrições
sporting-retro-01-03;Camisola Retro Sporting 01/03;Sim;"Referencia Portugal/Liga PT; Clube português; liga field=liga-portuguesa"
kit-crianca-chelsea-25-26;Kit Criança Chelsea 2025/26 Principal;Sim;Categoria criança
kit-crianca-dortmund-25-26;Kit Criança Borussia Dortmund 2025/26 Principal;Sim;Categoria criança
flamengo-third-away-25-26-kids;Kit Criança Flamengo Third Away 25/26;Sim;Categoria criança
celtics-away-25-26-s-4xl;Camisola 25/26 Celtics Fora S-4XL;Sim;Traduzir descrições
west-ham-united-third-away-25-26-s-4xl;Camisola 25/26 West Ham United Terceira Fora S-4XL;Sim;Traduzir descrições
wolves-home-25-26-s-4xl;Camisola 25/26 Wolves Casa S-4XL;Sim;Traduzir descrições
napoli-training-suit-25-26-s-4xl;Conjunto de Treino 25/26 Napoli S-4XL;Sim;Traduzir descrições
chivas-home-25-26-s-4xl;Camisola 25/26 Chivas Casa S-4XL;Sim;Traduzir descrições
ajax-third-away-25-26-s-4xl;Camisola 25/26 Ajax Terceira Fora S-4XL;Sim;Traduzir descrições
bahia-goalkeeper-red-25-26-s-4xl;Camisola 25/26 Bahia Guarda-Redes Vermelha S-4XL;Sim;Traduzir descrições
bahia-goalkeeper-yellow-25-26-s-4xl;Camisola 25/26 Bahia Guarda-Redes Amarela S-4XL;Sim;Traduzir descrições
victoria-away-25-26-s-4xl;Camisola 25/26 Vitória Fora S-4XL;Sim;Traduzir descrições
palmeiras-third-away-25-26;Camisola 25/26 Palmeiras Terceira Fora;Sim;Traduzir descrições
bahia-training-25-26;Conjunto de Treino 25/26 Bahia;Sim;Traduzir descrições
cruzeiro-away-25-26;Camisola 25/26 Cruzeiro Fora;Sim;Traduzir descrições
atletico-mineiro-away-25-26;Camisola 25/26 Atlético Mineiro Fora;Sim;Traduzir descrições
bahia-superman-25-26;Camisola 25/26 Bahia Edição Superman;Sim;Traduzir descrições
retro-germany-2008-home;Camisola Retro Alemanha 2008 Casa;Sim;Traduzir descrições
osasuna-third-away-25-26-kids;Kit Criança 25/26 Osasuna Terceira Fora;Sim;Categoria criança
osasuna-away-25-26-kids;Kit Criança 25/26 Osasuna Fora;Sim;Categoria criança
polo-osasuna-white-25-26;Polo 25/26 Osasuna Branco;Sim;Traduzir descrições
osasuna-third-away-25-26;Camisola 25/26 Osasuna Terceira Fora;Sim;Traduzir descrições
osasuna-away-25-26;Camisola 25/26 Osasuna Fora;Sim;Traduzir descrições
roma-third-away-25-26;Camisola 25/26 Roma Terceira Fora;Sim;Traduzir descrições
sao-paulo-third-away-25-26;Camisola 25/26 São Paulo Terceira Fora;Sim;Traduzir descrições
marseille-third-away-25-26;Camisola 25/26 Marselha Terceira Fora;Sim;Traduzir descrições
bayern-munich-baseball-jersey-25-26;Camisola 25/26 Bayern Munich Baseball;Sim;Traduzir descrições
como-home-25-26;Camisola 25/26 Como Casa;Sim;Traduzir descrições
real-betis-away-25-26-s-4xl;Kit Criança Real Betis Away 25/26;Sim;Categoria criança
sevilla-away-25-26-kids;Kit Criança Sevilla Away 25/26;Sim;Categoria criança
guimaraes-away-25-26-kids;Kit Criança Vitoria SC Away 25/26;Sim;"Referencia Portugal/Liga PT; liga field=liga-portuguesa; Categoria criança"
guimaraes-home-25-26-kids;Kit Criança Vitoria SC Home 25/26;Sim;"Referencia Portugal/Liga PT; liga field=liga-portuguesa; Categoria criança"
adidas-x-oasis-tour-s-4xl;Adidas x Oasis Tour S-4XL;Sim;Traduzir descrições
zaragoza-home-25-26-kids;Kit Criança Zaragoza Home 25/26;Sim;Categoria criança
